,char_id,guild,total_timestamps,unique_days,max_level,min_month,max_month,Average_Hour,Average_Playing_density,Playing_after_6_months
0,2,1,1,1,18,12,12,0.16666666666666666,0.03278688524590164,0
1,7,1,655,50,71,1,12,2.183333333333333,0.1366120218579235,1
2,9,1,2739,133,70,1,6,3.4323308270676693,0.726775956284153,1
3,10,0,674,49,61,7,11,2.292517006802721,0.32131147540983607,0
4,19,1,3001,149,70,1,12,3.3568232662192394,0.40710382513661203,1
5,21,1,1513,197,70,1,12,1.2800338409475465,0.5382513661202186,1
6,22,1,62,13,63,1,12,0.7948717948717948,0.03551912568306011,1
7,23,1,2140,126,71,1,12,2.8306878306878307,0.3442622950819672,1
8,26,1,7,4,61,2,11,0.2916666666666667,0.013114754098360656,1
9,27,1,310,8,65,6,7,6.458333333333333,0.13114754098360656,0
10,28,1,2244,137,80,1,12,2.72992700729927,0.3743169398907104,1
11,29,1,34,6,61,11,12,0.9444444444444444,0.09836065573770492,0
12,31,1,2712,148,70,5,11,3.054054054054054,0.6932084309133489,1
13,32,0,68,14,61,4,11,0.8095238095238095,0.05737704918032787,1
14,34,1,1722,135,80,1,12,2.1259259259259258,0.36885245901639346,1
15,36,1,5670,253,70,1,10,3.7351778656126484,0.8295081967213115,1
16,37,1,1368,94,70,1,12,2.425531914893617,0.2568306010928962,1
17,38,1,1061,76,70,2,11,2.3267543859649122,0.24918032786885247,1
18,39,0,15,6,60,1,9,0.4166666666666667,0.02185792349726776,1
19,41,0,5,4,60,2,6,0.20833333333333334,0.02622950819672131,0
20,44,1,2845,163,70,1,11,2.908997955010225,0.4858420268256334,1
21,45,1,1880,124,70,1,6,2.5268817204301075,0.6775956284153005,1
22,48,1,4,2,61,8,12,0.3333333333333333,0.013114754098360656,0
23,49,1,7,2,60,3,9,0.5833333333333334,0.00936768149882904,1
24,51,1,173,10,70,1,4,2.8833333333333333,0.08196721311475409,0
25,53,1,2163,242,80,1,12,1.4896694214876034,0.6612021857923497,1
26,54,1,546,38,76,2,12,2.3947368421052633,0.11326378539493294,1
27,55,1,701,27,80,11,12,4.327160493827161,0.4426229508196721,0
28,56,1,605,42,70,1,7,2.4007936507936507,0.19672131147540983,1
29,57,1,4534,266,70,1,11,2.8408521303258145,0.7928464977645305,1
30,59,1,650,38,80,8,12,2.8508771929824563,0.24918032786885247,0
31,62,1,1605,36,70,1,11,7.430555555555555,0.10730253353204174,1
32,64,1,1295,83,70,1,9,2.6004016064257027,0.302367941712204,1
33,68,1,1177,123,74,1,12,1.594850948509485,0.3360655737704918,1
34,72,1,335,24,49,5,10,2.326388888888889,0.13114754098360656,1
35,73,1,2,2,60,1,12,0.16666666666666666,0.00546448087431694,1
36,77,0,13,11,12,2,12,0.19696969696969696,0.03278688524590164,1
37,84,1,7476,309,80,1,12,4.032362459546926,0.8442622950819673,1
38,86,1,2493,163,72,1,12,2.549079754601227,0.4453551912568306,1
39,87,1,2059,148,70,1,12,2.3186936936936937,0.40437158469945356,1
40,88,0,52,6,36,1,2,1.4444444444444444,0.09836065573770492,0
41,90,1,404,32,70,1,5,2.1041666666666665,0.2098360655737705,0
42,91,1,346,50,70,1,12,1.1533333333333333,0.1366120218579235,1
43,94,1,4599,300,80,1,12,2.555,0.819672131147541,1
44,95,1,473,74,70,1,11,1.0653153153153154,0.22056631892697467,1
45,96,1,977,137,70,1,10,1.1885644768856447,0.4491803278688525,1
46,101,1,21,5,60,3,4,0.7,0.08196721311475409,0
47,102,0,5,2,60,2,6,0.4166666666666667,0.013114754098360656,0
48,108,1,3256,110,70,3,11,4.933333333333334,0.4007285974499089,1
49,109,1,1854,63,70,4,11,4.904761904761905,0.2581967213114754,1
50,112,1,2207,158,76,1,12,2.3280590717299576,0.43169398907103823,1
